# steps, mse
2.750000000000000000e+02,4.202226400375366211e-01
2.204300000000000000e+04,1.381197362206876278e-03
4.387600000000000000e+04,7.905893144197762012e-04
6.564700000000000000e+04,2.792401937767863274e-04
8.708700000000000000e+04,4.410349938552826643e-04
1.087510000000000000e+05,5.111763603053987026e-04
1.299160000000000000e+05,4.235363157931715250e-04
1.516210000000000000e+05,3.582487115636467934e-04
1.737240000000000000e+05,3.812968498095870018e-04
1.953960000000000000e+05,2.232820843346416950e-04
2.173870000000000000e+05,9.873649833025410771e-05
2.400190000000000000e+05,2.092348149744793773e-04
2.626190000000000000e+05,1.109356759116053581e-03
2.843420000000000000e+05,1.700189895927906036e-04
3.061760000000000000e+05,2.303389192093163729e-04
3.273290000000000000e+05,1.587695296620950103e-04
3.494190000000000000e+05,1.454928860766813159e-04
3.714090000000000000e+05,6.598993786610662937e-05
3.937780000000000000e+05,2.116014657076448202e-04
4.158770000000000000e+05,1.455538586014881730e-04
4.380780000000000000e+05,1.572995242895558476e-04
4.591370000000000000e+05,6.004877286613918841e-05
4.812860000000000000e+05,1.981242967303842306e-04
5.025970000000000000e+05,1.089409997803159058e-04
5.242880000000000000e+05,5.390752266976051033e-05
5.465840000000000000e+05,1.192341369460336864e-04
5.681880000000000000e+05,5.525873348233290017e-05
5.899070000000000000e+05,1.018495240714401007e-04
6.123090000000000000e+05,7.709937926847487688e-05
6.338410000000000000e+05,4.284117312636226416e-05
6.562730000000000000e+05,7.126780110411345959e-05
6.778780000000000000e+05,1.124280024669133127e-04
6.995660000000000000e+05,3.865522012347355485e-05
7.218450000000000000e+05,6.592773715965449810e-04
7.291650000000000000e+05,9.406317258253693581e-05
7.294230000000000000e+05,1.092661186703480780e-04
7.727790000000000000e+05,6.292854959610849619e-05
8.169770000000000000e+05,4.101764352526515722e-04
8.613870000000000000e+05,2.521451642678584903e-05
9.048420000000000000e+05,5.810749280499294400e-05
9.483030000000000000e+05,3.580023258109577000e-05
9.922850000000000000e+05,3.823587394435890019e-05
1.035629000000000000e+06,4.749258732772432268e-05
1.079458000000000000e+06,6.137521995697170496e-05
1.123493000000000000e+06,9.988820238504558802e-06
1.167627000000000000e+06,8.431677997577935457e-06
1.212194000000000000e+06,1.995716047531459481e-05
1.254993000000000000e+06,8.865769814292434603e-06
1.298293000000000000e+06,1.382285518047865480e-05
1.342134000000000000e+06,8.562145012547262013e-06
1.385208000000000000e+06,3.024198304046876729e-05
1.429389000000000000e+06,1.546530984342098236e-05
1.472839000000000000e+06,6.433017915696837008e-06
1.516094000000000000e+06,7.337972874665865675e-06
1.559708000000000000e+06,1.410430468240519986e-05
1.602663000000000000e+06,5.301164928823709488e-04
1.647312000000000000e+06,2.283222856931388378e-04
1.690402000000000000e+06,1.861648051999509335e-04
1.734568000000000000e+06,7.595172974106390029e-06
1.778827000000000000e+06,2.753717308223713189e-05
1.822968000000000000e+06,5.110933852847665548e-05
1.866503000000000000e+06,1.540434459457173944e-05
1.909923000000000000e+06,1.670501660555601120e-05
1.954299000000000000e+06,1.230860925716115162e-05
1.998610000000000000e+06,9.161662092083133757e-06
2.042122000000000000e+06,1.366366486763581634e-04
2.086403000000000000e+06,3.555682997102849185e-05
2.130538000000000000e+06,1.262162095372332260e-05
2.175161000000000000e+06,3.928416481357999146e-05
2.189508000000000000e+06,2.182159551011864096e-05
2.189762000000000000e+06,2.483937169017735869e-05
2.233371000000000000e+06,1.728720417304430157e-05
2.276531000000000000e+06,2.420830605842638761e-05
2.320439000000000000e+06,1.098154734791023657e-05
2.364833000000000000e+06,6.953833235456841066e-06
2.408921000000000000e+06,7.312841717066476122e-06
2.452128000000000000e+06,4.521531991485971957e-06
2.494926000000000000e+06,3.007606210303492844e-06
2.538798000000000000e+06,8.060408617893699557e-06
2.582763000000000000e+06,5.696439529856434092e-06
2.626632000000000000e+06,1.215543215948855504e-05
2.669469000000000000e+06,5.999732820782810450e-06
2.713965000000000000e+06,4.191552307020174339e-06
2.757240000000000000e+06,4.068835096404654905e-06
2.801530000000000000e+06,9.861592843662947416e-06
2.844762000000000000e+06,5.588364729192107916e-06
2.888805000000000000e+06,5.454384881886653602e-05
2.932573000000000000e+06,1.753654760250356048e-05
2.975909000000000000e+06,1.198251447931397706e-05
3.019283000000000000e+06,8.177905328921042383e-06
3.062368000000000000e+06,1.097392669180408120e-05
3.106267000000000000e+06,4.799148882739245892e-05
3.149909000000000000e+06,1.211195922223851085e-05
3.194814000000000000e+06,1.327282825513975695e-05
3.238656000000000000e+06,2.184169832617044449e-03
3.282820000000000000e+06,5.323941149981692433e-05
3.326912000000000000e+06,1.238737240782938898e-05
3.371346000000000000e+06,2.029422103078104556e-05
3.414516000000000000e+06,1.422874265699647367e-05
3.458828000000000000e+06,9.746970135893207043e-06
3.502434000000000000e+06,4.997706582798855379e-06
3.546368000000000000e+06,5.062468517280649394e-06
3.590277000000000000e+06,1.876878959592431784e-04
3.633125000000000000e+06,2.132631561835296452e-05
3.647846000000000000e+06,6.418538760044611990e-06
